Palavra,Significado
"""verbo to be"" been",Esteve
A few,um pouco / em alguns
About,Sobre / cerca de 
Actor,Ator
Actress,Atriz
Almost,Quase / Praticamente
Amazing,Incrível
Amazing,Incrível
Angry,Irritado
Another,Outra
Another time,outro momento
Answer,Responder ou atender
Arrive,Chegar
Artist,Artista
ATM,Caixa eletrônico
Aunt,Tia
Ball,Bola
Become,Tornar-se
Before,Antes
Bill,Cédula de dinheiro
Blanket,Cobertore
Book,Livro
Borrow,Pegar emprestado
Bring,Trazer / Levar
Call,Ligação
Cash,Dinheiro vivo
Catch,Agarrar ou Capturar
Chair,Cadeira
Change,"No fim da frase pode significar ""troco"""
Climb,Escalar
Coin,Moeda
Congratulations,Parabéns
Conversation,Conversa
Could,Poderia
Counter,"Balcão de pagamento, contador, contrário, entre muitos outros significados dependendo do contexto"
Dancer,Dançarino
Dancing,"Dança, dançando, dançar"
Date,Data
Drew,Desenhei
Elevator,Elevador
Else,outro
Empty,Vazia
Enjoyed,Gostar / Gostei
Enter,Entrar
Everybody,Todos
Exciting,Emocionante / Excitante 
Fast,Rápido
Feet,Pés
fell goog,Nada bem
Floor,Chão
Fridge,Refrigerador
Gave,Dar no passado
Go into,Entrar
Go out,Sair
Going to be,vai estar
Going to pay,vai pagar
Good time,Se divertir
Had to,Precisava
Happen,Acontecer
Have just,Acabamos
Have you taken,Você tirou
How long,quanto tempo
Interesting,Interessante
Irritated,Irritado
Just,Somente
Keep,Guardar / Ficar
Kicking,Chutando
Lend,Emprestar
Line,fila
Loud,Alto
Luckiest guy,Homem mais sortudo
Lucky,Sortudo
Mat,Conhecer
Maybe,Talvez
Meeting,Reunião
Might,Pode ser que / talvez
Most,Mais
Nobody,Ninguém
Noise,Barulho
Office,Escritório
Once,Uma vez
Owe,dever dinheiro
Owl,Coruja
Painting,Pintura
Paper,Papel
Part,Parte
Pay for it,Pagar por isso
Photographer,Fotógrafo(a)
Plane,Avião
Plant,Planta
Poor,"""pobre"" ou ""medíocre"""
Practice,"Praticamos, praticar"
Pratice,Praticar
Prize,Prêmio
Problem,Problema
Quickly,Rapidamente
Ready,Pronto
Rent,Aluguel
Repeat,Repetir
Rich,Rico
Right now,Agora ou neste momento
Room,Sala
Safe,Seguros
Said,O passado de dizer. Ex: Ela disse.
Same,Mesmo(a)
Same,Mesma
Seeing,Saindo com
Show,Mostrar
Singer,Cantor(a)
Slowly,Devagar
Soccer,Futebol
Stage,Palco
Stand,Ficar em pé
Still,Ainda
Suitcase,Mala
Sunddenly,Derepente
Suppose,Supor
Sure,Ter certeza
Take,Levo / Fazemos / Exigem / Aceita
Team,Time
That,Isso / Naquilo
There was,Havia
There was,Houve
There will be,Haverá
Things,Coisas
Toilet,Vaso sanitário
Train,Trem
Turning,Virando
Twice,Duas vezes
Unhappy,Infeliz
Waiter,Garçom
Wallet,Carteira
Wedding,Casamento
Well,Bem
Why,Por que
Wife,Esposa
Win,Ganhar
Won,Venceu
Write,Escrever
Wrong,Errado
Made,Tomou
Since,Desde
Kept,Guarda / Manter
